nome_mun,CD_GEOCODI,cod_rgi,nome_rgi,cod_rgint,nome_rgint
Itapuã do Oeste,1101104,110001,Porto Velho,1101,Porto Velho
Candeias do Jamari,1100809,110001,Porto Velho,1101,Porto Velho
Nova Mamoré,1100338,110001,Porto Velho,1101,Porto Velho
Porto Velho,1100205,110001,Porto Velho,1101,Porto Velho
Guajará-Mirim,1100106,110001,Porto Velho,1101,Porto Velho
Monte Negro,1101401,110002,Ariquemes,1101,Porto Velho
Cujubim,1100940,110002,Ariquemes,1101,Porto Velho
Campo Novo de Rondônia,1100700,110002,Ariquemes,1101,Porto Velho
Cacaulândia,1100601,110002,Ariquemes,1101,Porto Velho
Buritis,1100452,110002,Ariquemes,1101,Porto Velho
Alto Paraíso,1100403,110002,Ariquemes,1101,Porto Velho
Rio Crespo,1100262,110002,Ariquemes,1101,Porto Velho
Ariquemes,1100023,110002,Ariquemes,1101,Porto Velho
Vale do Anari,1101757,110003,Jaru,1101,Porto Velho
Theobroma,1101609,110003,Jaru,1101,Porto Velho
Governador Jorge Teixeira,1101005,110003,Jaru,1101,Porto Velho
Machadinho D'Oeste,1100130,110003,Jaru,1101,Porto Velho
Jaru,1100114,110003,Jaru,1101,Porto Velho
Vale do Paraíso,1101807,110004,Ji-Paraná,1102,Ji-Paraná
Urupá,1101708,110004,Ji-Paraná,1102,Ji-Paraná
Teixeirópolis,1101559,110004,Ji-Paraná,1102,Ji-Paraná
Seringueiras,1101500,110004,Ji-Paraná,1102,Ji-Paraná
São Francisco do Guaporé,1101492,110004,Ji-Paraná,1102,Ji-Paraná
Nova União,1101435,110004,Ji-Paraná,1102,Ji-Paraná
Mirante da Serra,1101302,110004,Ji-Paraná,1102,Ji-Paraná
Alvorada D'Oeste,1100346,110004,Ji-Paraná,1102,Ji-Paraná
São Miguel do Guaporé,1100320,110004,Ji-Paraná,1102,Ji-Paraná
Presidente Médici,1100254,110004,Ji-Paraná,1102,Ji-Paraná
Ouro Preto do Oeste,1100155,110004,Ji-Paraná,1102,Ji-Paraná
Ji-Paraná,1100122,110004,Ji-Paraná,1102,Ji-Paraná
Costa Marques,1100080,110004,Ji-Paraná,1102,Ji-Paraná
São Felipe D'Oeste,1101484,110005,Cacoal,1102,Ji-Paraná
Primavera de Rondônia,1101476,110005,Cacoal,1102,Ji-Paraná
Parecis,1101450,110005,Cacoal,1102,Ji-Paraná
Ministro Andreazza,1101203,110005,Cacoal,1102,Ji-Paraná
Castanheiras,1100908,110005,Cacoal,1102,Ji-Paraná
Novo Horizonte do Oeste,1100502,110005,Cacoal,1102,Ji-Paraná
Alto Alegre dos Parecis,1100379,110005,Cacoal,1102,Ji-Paraná
Santa Luzia D'Oeste,1100296,110005,Cacoal,1102,Ji-Paraná
Rolim de Moura,1100288,110005,Cacoal,1102,Ji-Paraná
Pimenta Bueno,1100189,110005,Cacoal,1102,Ji-Paraná
Nova Brasilândia D'Oeste,1100148,110005,Cacoal,1102,Ji-Paraná
Espigão D'Oeste,1100098,110005,Cacoal,1102,Ji-Paraná
Cacoal,1100049,110005,Cacoal,1102,Ji-Paraná
Alta Floresta D'Oeste,1100015,110005,Cacoal,1102,Ji-Paraná
Pimenteiras do Oeste,1101468,110006,Vilhena,1102,Ji-Paraná
Chupinguaia,1100924,110006,Vilhena,1102,Ji-Paraná
Vilhena,1100304,110006,Vilhena,1102,Ji-Paraná
Corumbiara,1100072,110006,Vilhena,1102,Ji-Paraná
Colorado do Oeste,1100064,110006,Vilhena,1102,Ji-Paraná
Cerejeiras,1100056,110006,Vilhena,1102,Ji-Paraná
Cabixi,1100031,110006,Vilhena,1102,Ji-Paraná
Porto Acre,1200807,120001,Rio Branco,1201,Rio Branco
Senador Guiomard,1200450,120001,Rio Branco,1201,Rio Branco
Rio Branco,1200401,120001,Rio Branco,1201,Rio Branco
Plácido de Castro,1200385,120001,Rio Branco,1201,Rio Branco
Capixaba,1200179,120001,Rio Branco,1201,Rio Branco
Bujari,1200138,120001,Rio Branco,1201,Rio Branco
Acrelândia,1200013,120001,Rio Branco,1201,Rio Branco
Xapuri,1200708,120002,Brasiléia,1201,Rio Branco
Epitaciolândia,1200252,120002,Brasiléia,1201,Rio Branco
Brasiléia,1200104,120002,Brasiléia,1201,Rio Branco
Assis Brasil,1200054,120002,Brasiléia,1201,Rio Branco
Sena Madureira,1200500,120003,Sena Madureira,1201,Rio Branco
Santa Rosa do Purus,1200435,120003,Sena Madureira,1201,Rio Branco
Manoel Urbano,1200344,120003,Sena Madureira,1201,Rio Branco
Rodrigues Alves,1200427,120004,Cruzeiro do Sul,1202,Cruzeiro do Sul
