ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_CAMETA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,TOTAL
2022,25472181.890322503,25472181.89083654,377528.89106026443,172143.93451697606,195817.70461992183,5827.716084100174,8657665.772769118,4689737.518664788,2805116.38808279,1059860.6424905977,282259.4371815319,107073.91778085238,188151.04509602964,7703723.183932158,1905509.3224472234,3058366.101778999,3128921.9604537543,2826031.6283946414,849547.4249753727,1583417.3208673932,424237.48799365107,2606021.952086343,94027.15386466288,2504638.396541251,1614045.1824647302,301892.1166803807,792615.6299507706,89113.87408739311,276403.57349105197,264801.7551324725,22232683.8564149,22389074.758599438,965092.2309038365,437585.31084238907,492460.30823142687,62837.92226333158,5624815.388111614,2967657.1499946015,1968512.3144668476,653177.4433954844,201185.15904303934,205743.51478629775,5334.47691629585,7077343.43826081,1207103.9145494658,3309544.9350193106,2536910.2293381626,2731484.364519703,791355.1551622837,1941416.8006784434,251115.19004524476,2690219.5797312967,157894.01609039202,2547644.92989612,2922030.2332481057,454135.2138012354,1073240.9158101308,292351.55876821437,392172.34218738246,502019.0758648947,47075705.112033755
2023,27128700.247174766,27128700.249335382,399155.68904505065,172936.98482485735,226061.62444934624,6059.3249980717455,8659599.132765744,4785218.177174445,2852703.714976635,1079913.129514148,296462.09834118333,111665.45372306206,190765.80329702242,7758459.612122182,1956456.2337698955,3059011.3805539026,3226754.5420921766,2928977.4836822865,886029.3684081659,1663700.1864394813,384659.19161078735,2701563.650259903,95638.11162011541,2596489.071758288,1421529.8095950412,303535.82535260735,770800.5993123456,90765.58287546254,307798.33814304956,150608.0938957099,22337943.34448991,22480992.361229394,902540.440385194,445955.55333441787,508163.72928902844,53147.33385486296,5646726.300275228,2967473.699784766,1995479.4538097135,637273.677270681,187673.1199416726,208855.2547617581,5430.894289631789,7223269.143793977,1172163.5158517926,3307788.0105459886,2709858.5802272335,2663161.030822919,685269.09555692,2048155.7825247631,220378.94461612642,2789697.128397343,159469.42020116965,2611584.050994546,2963377.706519811,448342.1586264489,1046584.5894217623,287701.529926281,382448.0909755427,501464.01267421234,47494035.10888555
2024,28810296.725204624,28810296.72802065,408148.4552384484,188074.3007064099,231107.4662830224,5769.0465827413245,8606247.554477477,4642140.248671458,2894340.15599624,1048830.432640611,311906.6557295549,115930.93602659425,196447.72122519568,8200803.146199244,1994725.9006095303,3197218.2024365896,3362712.186038176,3022345.3875808637,914268.1806630924,1729062.440515393,402927.74003554817,2781389.2421268807,96141.90090342355,2673664.2540287296,1388518.8812128615,316860.0983069683,759232.7023776189,92289.7644383958,337306.1426274581,262975.76539384195,22429000.035342716,22603578.90049565,853479.3402450883,454325.7958264467,518624.87659874646,43156.23537552713,5682657.2639197055,2968433.86262152,2028091.3231735576,621406.336366628,166356.93624732198,212011.3323035903,5871.0293528480215,7369194.849327143,1143977.4618009056,3417020.5841649943,2858586.424110998,2686727.4244203554,646982.7011214633,2120142.982705313,195971.14117248566,2887992.7058021943,167524.71805972446,2675523.1720929723,2922369.3333273698,438347.7258534238,1018418.9706272867,287959.1905085708,355373.3417824967,494187.7234474612,47791288.36024174
2025,30509213.093555722,30509213.097538043,381919.545590748,158537.55762015888,228760.27391513644,6229.762659305399,8621075.240578793,4724474.431456692,2715933.2058850294,1092451.1927579513,283675.03497789375,108231.12586400213,187752.07003059672,7718668.617688987,2004247.771677772,3039825.656299248,3518082.0289170532,2987545.5819599424,917725.0245879291,1700226.5153685224,420754.95443480875,2854873.189050119,94798.64292799814,2744931.070784114,1466416.2286317407,323742.48053964553,767036.7707302296,89600.66723181662,369723.35872248275,270179.4448421958,22515562.205494814,22710365.413672086,828057.6285216953,462696.0383184755,510907.90290899284,30148.967031518303,5718992.118050269,2966210.1523347287,2064459.7174988238,605533.1020013647,153286.35948939275,215158.79534542852,5433.4963088703,7515120.55486031,1111117.1675971611,3375671.9500610777,2988437.929034447,2716873.7967073037,635655.6479265476,2154994.0623246175,173067.61340265776,3010825.448120839,163375.29951984418,2739462.2931913985,2784352.0645587672,426580.84400605893,975285.8743114357,273865.85381888214,332864.15406239865,482039.67093149817,47854252.50189133
2026,32356870.928438805,32356870.934720125,421943.34260011784,197572.0044051567,211199.1341419738,6461.371573276971,9174068.581541656,4965536.9635134,2857502.5614667498,1111694.4047114,297790.92258905567,112487.03845487122,190312.21177623808,7758459.612122182,2060652.4014333938,3059011.3805539026,3533884.8048223257,3095434.4717383618,954206.9680207222,1780076.0222580957,386967.5150126185,2925798.203130328,100458.09824439636,2813819.1747298804,1562121.4907126108,325386.1892118722,752874.7660209266,89388.04008193724,404739.51623947953,276148.8408758302,22628821.168744415,22844598.299105264,826993.0277850591,471066.2808105043,508979.2010718098,17354.513054140913,5742648.348436987,2962976.7798030963,2094845.4948109891,589660.8211755536,150224.8592073589,218307.9321284352,5483.545661005682,7661046.260393476,1076985.2876126142,3381926.030282804,3103578.0915212296,2730991.719076353,601807.0788239301,2159395.1134329257,155507.06732697485,3116424.3526936076,166881.24357241063,2803401.4142898247,2740607.99961175,418585.3713457223,946359.223696747,266291.5198657253,320301.48238580127,479908.1046682627,48342309.35012682
2017,20653214.895242177,20653214.895960994,365983.7098481579,168849.08369587196,188685.16948568996,3689.729418455473,6585211.501927446,3711306.0463820193,1992788.6538107055,943477.5368429649,297350.9818729316,102806.64914534014,193891.71262368376,7338978.635720242,1692636.1046031427,3000229.6691514486,2731595.347638782,2559976.8996721613,683773.1850693648,1440627.1911710624,423928.8763787511,1931217.256052908,74859.36313234,1855624.313559902,1404866.520974721,253001.54551186677,629644.3996163418,78608.58347062374,170713.77509667928,234270.28936859086,21027720.005594265,20972319.1590216,1026753.8376130206,427115.5022534953,515323.9948843662,93352.63083575385,5429446.95214008,2961334.294657458,1792541.2024085221,697286.6915647901,190787.7928337542,151373.70906518886,5920.713970728375,6753896.923570626,1294221.4813527374,3366334.1742933053,1961698.0720634554,2840837.530686858,1157526.725613196,1392030.6040924524,348552.68163986516,2025733.2015409872,178020.92597326537,1805362.806385789,2976124.7307668417,534278.4356777244,1187476.4587657847,317368.4230780224,438023.24361262313,530130.9201481702,41905369.95551749
2018,20762615.797525264,20762615.796141643,392864.12782141945,167492.50100897136,223146.67472795866,2416.9930924767273,6488632.433009291,3544323.903756706,2019543.3448406565,885904.4794270792,295095.3942869342,112693.24300166889,185140.89283722418,7563428.4176100055,1751890.1114411599,3099816.8792183814,2776985.851434252,2753359.331534907,722523.319560093,1573700.4990794125,404498.01678945136,1656333.3401696065,78253.24041504826,1534513.3133150865,1373193.1114345137,267737.2188253197,688772.8762211063,77031.00159871318,166473.7578697994,228236.66569457814,21144646.570405703,21164399.909452878,1024754.6976558302,434157.92447197356,496896.04048715276,108452.70535089023,5496552.2007714715,2964109.0694382144,1823537.926374147,711041.7567043331,205676.45535355006,174842.35337850475,6357.17045864965,6764438.078223961,1285789.5593904755,3364096.92342388,1982942.0995770397,2896469.16452138,1080128.417028416,1418801.9891159355,334011.54138646513,2030588.4125405527,177324.64228532265,1865430.1381923046,2935063.6265725484,544004.5211438081,1135107.7432982125,325658.2748276194,426524.79433605034,534476.9243455298,42010325.721771464
2019,20676421.738777168,20676421.7391776,362707.6487557784,141312.7368348957,225858.820122457,2942.364930652672,6706885.521577075,3579310.012338997,2145199.10393377,950494.309097541,249411.60556210476,87559.79745400378,172418.79258257005,7456115.614317917,1731553.1010719475,3057402.0285933143,2757075.7313404707,2599144.834330562,727958.3508957385,1498675.1578780976,406558.2113726491,1869667.1175475584,75691.01239692225,1875891.3548607272,1440101.706539058,270122.09751292196,590786.202690141,70037.36810124425,172235.49088171957,263408.0193181486,21392262.07397365,21390961.822675895,1064755.4993254312,439974.7394928738,504143.77374403615,107465.32326403129,5549863.48494025,2989972.9775177925,1868785.474373759,701716.8511546544,220041.41291607506,212518.75898549237,5455.155029885815,6764836.631758149,1286874.8293162752,3286025.776660409,2048846.5510380953,2858819.0844674236,1130928.011964747,1486058.6258570664,310694.14298153116,2195261.32715633,185445.53235983773,1991317.3127045787,2891727.4134689597,519270.69862974354,1088774.5468555233,317966.85984081746,412047.8483272632,547259.4990487957,41996617.58319004
2020,21250946.931343365,21250946.931909125,364230.5010434771,159437.15910646616,217841.44338184164,3047.2322225210037,7136441.031710375,4140399.980771962,2134817.221144939,973405.9514569639,290727.08710850566,103717.63525488728,186647.04648851813,7621820.658626516,1757578.9322562777,3025861.243969707,2926914.588909254,2762581.938464549,753968.5012280139,1587864.519093334,412402.5273916233,2185103.1286771875,81801.2251962322,2110078.7326167277,1514611.6856216982,247503.88576641635,705382.0761760265,67417.11499273864,196480.99795416387,263358.5294099376,21257762.85163426,21352433.140437778,1013438.7086775943,421366.982749969,483250.9626845693,72412.0044837167,5576763.046946579,2964879.8384902924,1905674.5616553333,689130.7545738103,211128.16385676243,207109.17721516622,5542.986620122416,6533701.233618297,1270114.5533100427,3238213.5285215094,2068346.9293692342,2886913.862274344,969971.7913835142,1593632.3648479863,282928.89021327224,2288037.096207874,174426.4461103501,2070392.0002798412,2860070.7986952895,477519.06225818675,1048577.1992955601,309519.7282329843,392473.46741287736,530264.1002637511,42460562.43698481
2021,23980305.1358302,23980305.134625357,375601.1079841241,169726.61353298498,200192.44515883495,2417.2681883853497,7998846.6281909095,4484329.166991054,2537819.7972193533,927355.8921479285,306780.3267070714,105646.19411713148,195527.87781677744,7643460.799285228,1809403.8174477427,3075228.4674165575,2971570.4352874514,2834419.944366062,827482.0016422608,1628636.7459547084,394520.7993786929,2337927.55371895,86301.28021127751,2251829.6344937836,1554119.7648965418,280276.469026726,737315.9802898073,89713.80538605215,246564.98553113444,275088.1880723576,22557642.598382108,22584927.115159616,985974.7965143013,416186.5803683382,497157.4257691638,71378.87562848761,5615424.558807676,2978650.9327132483,1940600.0127685363,677822.7806337373,212380.55363642488,203151.03044101928,4994.967986059471,6619563.020185215,1235986.0031182945,3222813.851348374,2144553.744975044,2904685.400066278,892207.2072179371,1763905.2448957046,302721.7203560501,2567717.3949204,180106.1088443213,2200098.379730588,2823989.293747546,464926.03293420974,1158004.6782494644,311055.5902368249,386730.4658661594,520902.24754717737,46055582.40009288
