ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,TOTAL
2022,24263561.86134026,24263561.861311585,173929.5400777071,2859755.7889389517,482414.0552674362,1655011.9803195822,778101.773039967,251463.57734943263,2958057.2202761215,2642160.4331407193,148961.9643141823,309742.2008682521,46843942.39275068
2023,24032827.414697606,24032827.416107994,187898.8531745113,2862597.522222294,498996.52136934735,1407586.9246655884,774582.8817418593,258462.2413901088,2912595.4749407,2695320.8016748466,163247.20349341613,306997.1210483986,47208058.52991628
2024,24293224.034059417,24293224.035754368,175824.03684645303,2923999.172946625,486932.077916988,1455202.171117521,770155.8566361038,262079.69055233337,2937501.3479980016,2718624.538668503,152472.6155648889,307892.58308400895,47504655.22883886
2025,24530508.55576232,24530508.558017753,161018.22651025088,3047563.742631946,485410.83161713515,1598035.9461088623,771612.8225567723,267420.0074350398,2969778.8857210395,2740826.553929395,116847.30542218876,309023.41581337986,47730977.997912645
2026,24701827.386157036,24701827.388542112,142750.74812801677,3052763.133400725,517348.0246082331,1838536.4788505433,771123.7527300705,278140.3371251313,3008073.677739278,2763490.1354843206,116509.78703501845,310312.2657702325,49371574.233915284
2017,20550436.308773864,20550436.309832793,169760.20920183562,2553321.8900641594,425455.8956087673,1261696.123228892,643062.5958921721,178687.80466684545,2861192.7220598976,2009687.9933143824,181310.04171366073,310855.6091430108,41924233.288307585
2018,20876405.433670454,20876405.432700433,165311.86987993252,2643566.8243041774,420893.8589553267,1409649.9853107955,658384.0557282399,170295.76457437416,2904051.339841058,2017627.1324214456,175021.72195325224,322856.1955654032,41894876.41528997
2019,20820963.167990573,20820963.168838922,175462.21675670182,2638697.690010489,364775.7209003039,1446135.6589822934,580448.329945043,173997.25001476047,2898631.452788707,2162026.26592974,186968.14384766645,317162.80035856605,42470230.13423645
2020,21984737.77260006,21984737.771719884,175242.78861144063,2677905.640332909,402922.5071036109,1532088.918200957,722897.253797766,190795.5981613852,2919100.324287737,2269308.9256237103,179720.86547133722,306554.0069657351,43035322.510331236
2021,22763709.10720776,22763709.10782271,176247.881779651,2872976.106234739,390001.0095281447,1694822.693023476,739803.5936556176,247399.0183842837,3088622.606336357,2554490.2260255916,148872.12233978312,308179.8036647418,44394839.34490845
