var,p,d,q,seasonal_order,date
VAR_EFETIVO_DOS_REBANHOS,0.0,2.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,0.0,2.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,2.0,1.0,1.0,"[0, 1, 1, 12]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,,,,,27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,0.0,1.0,0.0,"[0, 1, 1, 6]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,0.0,1.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,1.0,1.0,2.0,"[0, 1, 1, 6]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,1.0,1.0,2.0,"[0, 1, 1, 6]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,2.0,1.0,2.0,"[0, 1, 1, 6]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,1.0,0.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,1.0,0.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,1.0,0.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,2.0,0.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,0.0,0.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,1.0,1.0,2.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,0.0,0.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,2.0,0.0,2.0,"[0, 1, 1, 12]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,1.0,0.0,2.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,0.0,1.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,1.0,0.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,0.0,0.0,2.0,"[0, 1, 1, 12]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,,,,,27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,0.0,1.0,1.0,"[0, 1, 1, 6]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,0.0,2.0,0.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,0.0,0.0,2.0,"[0, 1, 1, 6]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,0.0,1.0,1.0,"[0, 1, 1, 3]",27-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,1.0,0.0,1.0,"[0, 1, 1, 3]",27-04-2023
