var,p,d,q,seasonal_order,date
VAR_EFETIVO_DOS_REBANHOS,2,1,1,"(2, 0, 0, 8)",01-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,2,1,1,"(2, 0, 0, 8)",01-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,2,1,1,"(2, 0, 2, 10)",01-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,2,1,1,"(1, 0, 1, 4)",01-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,2,1,1,"(1, 2, 0, 10)",01-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,2,1,1,"(0, 2, 0, 6)",01-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,2,1,1,"(0, 0, 1, 12)",01-04-2023
VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,2,1,1,"(2, 1, 1, 12)",01-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,2,1,1,"(0, 1, 2, 12)",01-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,2,1,1,"(1, 1, 2, 12)",01-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,2,1,1,"(0, 2, 2, 4)",01-04-2023
VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,2,1,1,"(2, 0, 0, 4)",01-04-2023
TOTAL,2,1,1,"(0, 1, 0, 6)",01-04-2023
