ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,VAR_AREA_DE_COBERTURA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_BELEM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BELEM - REGIMED_CAMETA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_MARABA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_BREVES,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_AREA_DE_COBERTURA - PRODUTO_PASTO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,TOTAL
1985,3446825.0000033667,3446825.000005808,142483.00000240596,37341.00000317382,102579.00000008156,2563.0000033688334,649912.0000055765,596872.0000029181,53040.000001979526,1.1664937187007453e-07,479294.000009349,129959.00000185706,349335.00000597857,878031.0000021829,394455.0000033796,451576.00000162225,32000.000002893205,530629.0000084499,341571.00000074843,46559.000007025556,142499.00000600872,104297.00000402845,18440.0000081423,85857.00000566633,662179.0000096584,65648.00000729895,385641.0000027502,27523.000007810053,63586.0000060784,119781.00000865615,6773700.518518875,6773700.518522596,464760.76864968985,127886.33863034994,271704.20775127894,65170.222279282265,1446616.4797289048,834477.251846942,416376.65366835834,195762.57421763355,130768.67085395877,105316.89692353578,25451.77393447563,1678092.3335376638,545557.1783946981,1000298.3934547021,132236.7616990074,1119963.7379370113,645785.8322044769,259676.57860660364,214501.32712948046,442503.1598346763,159379.35314036038,283123.80670392764,1490995.3680132674,178439.1130369724,749057.4582641766,136034.6114360792,199569.9090481419,227894.27625561468,10220525.518524023
1986,4102298.0000051023,4102298.0000052643,192805.0000014865,73342.00000907059,116217.00000204837,3246.0000002890774,651733.0000075976,578560.0000036297,73173.00000541932,6.785349984988464e-06,546501.0000069633,177926.00000173668,368575.0000017242,1184547.0000036727,560643.000000942,589284.000006136,34620.0000012585,646823.0000003173,437695.0000014898,48887.00000191289,160241.00000125033,131053.00000165746,19393.000009287418,111660.0000073512,748836.0000034857,76621.00000794232,449860.0000057539,29363.000009389827,67123.00000227905,125869.00000182835,6587442.4532287875,6587442.453226461,462867.7184711442,125986.36139130016,272151.20609034353,64730.15099840261,1448131.7599323532,835044.4080395811,413885.4515240785,199201.90037906062,56404.074837791144,51555.32227559757,4848.7525714242,1697750.4519860107,561280.3866724967,1004467.2119478625,132002.85337319376,1044255.7542141203,636379.7766977709,235880.55530695213,171995.42221693724,412963.5081109307,142983.10045114683,269980.4076686793,1465069.185705023,178332.03926646974,747200.715712672,119419.53735925669,199242.17968146957,220874.71370638616,10689740.453229195
1987,4641462.000004474,4641462.000000835,211405.00000268294,76995.0000084388,129179.00000410879,5231.000006669012,792656.0000000816,714755.0000047741,77901.00000580648,1.128540325420171e-06,693722.0000005558,337854.000008941,355868.0000056556,1332698.0000048294,623754.0000093866,668603.0000085789,40341.000003189976,682186.0000048999,454174.000005833,51331.00000271357,176681.00000540112,140161.00000052943,20411.000004248697,119750.00000470654,788634.0000077547,83252.0000057072,469380.00000380934,32471.000007636834,69451.00000357795,134080.00000987624,7124762.8075033305,7124762.807501795,536584.2701114247,142323.52043908602,329789.1691711868,64471.580520647636,1597868.4914952563,933392.1336075064,432173.3260526011,232303.0318524068,61458.5442122153,57026.88317378212,4431.661048839266,1876656.0036385155,641126.8232872034,1085248.4221755967,150280.75818635948,1038912.6987540221,589574.9474851363,253208.8968977438,196128.85438865772,424890.99024926004,116114.89357899295,308776.09667043516,1588391.809073452,182486.75970511368,789332.906972495,133618.49508395788,214312.78288155553,268640.8644519796,11766224.807508815
1988,5431061.00000256,5431061.000001116,232784.00000294813,96694.000003206,130997.00000896206,5093.000007783478,780691.0000098464,696300.0000022695,84391.00000591474,7.016022666933375e-06,752519.0000027694,353088.0000070889,399431.0000093828,1861163.0000045476,775981.0000072574,1015154.0000001194,70028.0000082881,769066.0000000852,470616.0000025828,103803.0000057657,194647.00000001004,151203.0000067116,20603.000006309987,130600.00000636654,883635.0000094704,89995.00000926858,505000.00000557693,36728.00000792497,71514.00000445223,180398.0000008132,7647170.534551782,7647170.534555206,570191.0491872422,142909.44864672195,365562.92317075084,61718.677376868116,1735842.660322629,1027382.0833921074,449496.0988708195,258964.4780705801,61122.76015522105,56780.39810635055,4342.362053809868,2063514.9171741134,692902.5113579329,1180082.134888916,190530.2709374124,1085144.283331117,607270.4346124073,276355.3658291532,201518.48289347693,409179.14239184593,89350.65362736728,319828.48876409477,1722175.722027802,203419.59214165818,823793.8605879671,157913.01181436272,235400.10507354824,301649.1524317866,13078231.534549749
1989,5955474.000003366,5955474.000001361,278257.00000613974,143607.00000858188,129457.0000097265,5193.000009206182,1291445.0000033071,856369.0000035055,288976.0000021517,146100.00000020058,593799.0000092424,146956.0000049429,446843.00000701507,1897893.0000034613,676277.0000058244,1130585.0000071435,91031.00000736794,682511.0000025381,351714.0000062603,114618.00000408781,216179.0000023159,213347.0000091409,23147.000006579896,190200.00000630258,998222.0000025809,97380.0000053354,629260.0000001205,34737.0000097002,72600.00000314934,164245.00000047256,7806384.994710223,7806384.99470799,573171.3852108666,148867.65742399907,357736.1792256567,66567.54857507584,1862706.923462377,1099560.407760308,479386.18395324814,283760.331751169,53287.186118240796,50261.57503427271,3025.611091675299,2168210.212059619,736867.3200945345,1221529.4934845746,209813.39849035995,1073569.0583935974,605525.6690243462,293055.6904006041,174987.69897492987,408748.80516149005,70753.19313809386,337995.6120337751,1666691.4243254212,185340.01987810264,804992.3876798907,162745.52850656596,222275.17353753975,291338.3147464539,13761858.994708285
1990,6292421.000008239,6292421.000001554,282747.0000042847,148540.00000834904,129242.00000654458,4965.000001899823,1363288.0000052329,908988.000000788,298300.0000050511,156000.00000540607,714373.0000052993,186789.00000220558,527584.0000003587,1972372.0000064864,724554.0000091859,1146471.0000025502,101347.00000823262,614892.0000083012,299874.0000016295,136241.0000019095,178777.00000856805,223145.00000505176,23845.000006701517,199300.00000854713,1121604.000002753,101150.00000212263,747005.000005511,36896.0000061671,75078.00000316672,161475.00000743545,8135955.974525907,8135955.974526661,584385.0848718449,171024.01580553784,334171.04522551934,79190.02385235479,1987255.5966209474,1156385.5733994786,515945.6150881451,314924.4081456278,65069.48554760811,62627.70319314933,2441.7823591203087,2257220.9468261926,776742.816852206,1252144.613402166,228333.51657788228,1150844.617721775,715591.7463205853,280600.69584078394,154652.17557161686,400058.42548717145,50572.330105231995,349486.0953848039,1691121.8174751408,185094.4615022897,831349.0263191183,152781.18876121848,242129.94207172527,279767.19885305903,14428376.974526975
1991,6714444.000005473,6714444.000001775,285850.0000092498,151700.0000031869,129589.00000707657,4561.00000652486,1372751.0000004002,917261.0000041007,301690.0000013474,153800.000000091,636726.0000048138,205622.00000988718,431104.00000365777,2299703.000009911,790191.0000069531,1398658.0000068462,110854.00000078842,661043.00000863,327067.0000031695,147520.00000105824,186456.00000377942,235682.00000357168,25682.000000658572,210000.00000818403,1222689.0000011278,105320.00000521446,827048.0000026306,37780.00000909545,77331.00000080877,175210.00000570717,8498266.640464203,8498266.640462201,569785.1149576374,170395.30847549925,318712.26928946556,80677.53720046658,2102111.4251275123,1236534.7893995254,517204.70222530473,348371.9335144404,69369.48598004472,64693.417431011374,4676.0685552183895,2340490.558166387,799919.8471533429,1279879.477155783,260691.2338590655,1186518.7204601492,736377.3312675706,272625.1814298408,177516.20776855294,391939.4691351492,48913.07243467124,343026.39670546574,1838051.8666633083,279786.01188364025,836925.6229728445,164244.9436033303,261676.9541263721,295418.33409916307,15212710.640463404
1992,7066588.000005763,7066588.000008986,316478.0000037507,151450.00000139754,161022.0000087812,4006.0000040292107,1489186.0000041206,1001462.0000028838,326524.00000933994,161200.00000385588,608790.0000060569,220139.0000060606,388651.0000001335,2434709.0000044163,843908.0000081959,1474166.0000072408,116635.00000195699,707646.0000017906,369450.00000842946,164191.00000177923,174005.000001855,234169.00000725765,26669.000005104288,207500.00000574408,1275610.0000098906,107100.00000185177,860462.000009995,35974.00000266108,78632.00000312828,193442.00000319563,9203569.579072945,9203569.579075137,577447.5439397739,164458.82925416878,340296.08570645726,72692.628974384,2334611.420218755,1360184.016134319,578469.4328400062,395957.9712525176,62312.74947394563,54559.216979655306,7753.532497029139,2562023.0150157637,884118.2042293407,1377733.6019856066,300171.20881672465,1286741.4752283057,750812.9111746699,326293.7905554586,209634.77351478068,450539.5175240701,68006.70410613168,382532.8134200891,1929893.8577080332,274843.05091171205,873970.0023861191,194495.4505600208,259280.38314418215,327304.9707253689,16270157.579073686
1993,7515580.000006051,7515580.000000705,371707.0000013715,153500.000001728,214028.00000041083,4179.000001713579,1403395.0000040897,883790.0000031292,389605.000009294,130000.00000762283,642066.0000040404,233137.00000296495,408929.0000062085,2687466.000003863,871830.0000003311,1551736.0000027113,263900.00000754773,835102.0000006722,386262.0000016594,228700.000002081,220140.0000038541,333341.0000039619,27341.00000145245,306000.0000081788,1242503.0000097277,68000.00000583139,918895.0000080345,38926.000009589945,61330.00000217616,155352.00000579888,9847201.502597477,9847201.502592525,646942.9244177843,192099.83828384097,375884.42265578936,78958.66348761987,2469927.7632814706,1426112.7631642239,617080.0862876365,426734.913832677,76007.27236102367,66659.3138570048,9347.958512523652,2790767.684855516,938423.6589892923,1509674.2774179368,342669.74845191423,1375252.3601659157,767012.1464205758,378239.4030839638,230000.8106703464,522131.06551646633,99036.8923108552,423094.17321165267,1966172.4320307306,273750.7391993508,892230.760498872,204137.28024463926,255781.59957078903,340272.05252849637,17362781.502594616
1994,7624234.000008571,7624234.000000924,392198.00000884815,158530.00000350733,229320.00000837047,4348.000007267476,1393568.0000028226,883280.0000097933,372188.0000025676,138100.00000727392,663767.0000038414,236642.00000392654,427125.0000020403,2626842.000003571,899984.0000048787,1406183.00000201,320675.00000030297,904160.0000065718,403000.00000747835,278000.00000661233,223160.00000014118,364354.0000051867,30654.00000680388,333700.0000032837,1279345.000001413,73100.00000908697,938723.0000091429,41042.00000132986,62362.00000185965,164118.00000537894,10330947.588965079,10330947.588972757,641707.348575305,200954.92541330392,360901.54447938764,79850.87869297167,2622946.3307611113,1507167.0617947283,654112.7419156256,461666.5270627501,82730.56476189737,70212.78421418942,12517.780550271444,3011477.684143773,975411.800058787,1636361.2747395968,399704.60936697584,1444602.4373515313,779027.8538083588,408387.70124436455,257186.88230508272,602658.911855131,158657.703272939,444001.2085823083,1924824.3115450249,273635.76941178465,899908.9728827026,190930.30619606937,251322.8731768572,309026.3899084375,17955181.588964988
