ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,TOTAL
1985,3446825.0000093174,3446825.000004833,142483.00000321495,37341.000006026945,102579.00000627528,2563.000002595955,649912.0000045524,596872.0000002654,53040.00000376023,8.711583303700334e-06,479294.00000038947,129959.00000452591,349335.00000845874,878031.0000070133,394455.0000031981,451576.00000426156,32000.000009238905,530629.0000053477,341571.0000029924,46559.000004350615,142499.00000476127,104297.00000608512,18440.00000021859,85857.00000340471,662179.0000041736,65648.00000165982,385641.0000016693,27523.000002747132,63586.00000489764,119781.00000934272,3446825.0000093174
1986,4102298.0000097854,4102298.00000197,192805.00000371286,73342.00000119825,116217.00000237687,3246.0000075766247,651733.0000063789,578560.0000042348,73173.0000097616,9.998077072437814e-06,546501.0000082533,177926.0000072287,368575.0000033729,1184547.0000099447,560643.0000099773,589284.0000008921,34620.0000057205,646823.000009278,437695.00000177894,48887.00000442536,160241.00000221047,131053.0000004471,19393.00000278826,111660.00000574188,748836.0000068556,76621.0000043731,449860.0000017652,29363.000003438472,67123.00000815094,125869.00000162245,4102298.0000097854
1987,4641462.000005126,4641462.000004284,211405.00000497597,76995.00000292182,129179.00000111853,5231.0000070834,792656.0000077806,714755.0000017245,77901.00000953057,3.0018025821101114e-06,693722.0000017798,337854.0000097497,355868.0000024867,1332698.000008634,623754.000000806,668603.0000059177,40341.000006290444,682186.0000082417,454174.0000054208,51331.00000853848,176681.0000095584,140161.00000921637,20411.00000757781,119750.00000285644,788634.0000022331,83252.00000663286,469380.0000043549,32471.00000959533,69451.00000772349,134080.0000025722,4641462.000005126
1988,5431061.000007582,5431061.00000913,232784.00000796016,96694.00000850591,130997.00000094321,5093.000001333485,780691.0000000336,696300.0000045502,84391.00000053516,3.7725959112423393e-06,752519.0000097209,353088.00000295043,399431.00000783196,1861163.0000045842,775981.0000081714,1015154.0000072111,70028.00000438171,769066.0000054656,470616.00000954873,103803.00000772953,194647.0000093546,151203.00000125778,20603.000009111118,130600.000001175,883635.0000041665,89995.00000701539,505000.00000568747,36728.00000924627,71514.00000566785,180398.00000969658,5431061.000007582
1989,5955474.000001065,5955474.000009564,278257.0000098199,143607.0000057986,129457.00000546456,5193.000003349206,1291445.0000009264,856369.0000080483,288976.0000049655,146100.0000011721,593799.0000035061,146956.00000013254,446843.00000286486,1897893.0000022901,676277.0000096714,1130585.000005238,91031.00000479956,682511.0000080225,351714.0000064364,114618.0000095193,216179.00000383845,213347.00000985182,23147.000002458342,190200.00000473627,998222.0000001661,97380.00000936806,629260.0000077428,34737.00000364807,72600.00000045494,164245.00000599,5955474.000001065
1990,6292421.000006324,6292421.000008002,282747.00000760285,148540.0000098945,129242.00000634117,4965.000001291619,1363288.0000003222,908988.0000028291,298300.0000084667,156000.00000291067,714373.000009282,186789.0000002675,527584.0000037425,1972372.0000014855,724554.0000079824,1146471.000005349,101347.00000366668,614892.0000092395,299874.0000054475,136241.00000975843,178777.0000027157,223145.00000412314,23845.00000837165,199300.00000734866,1121604.0000011967,101150.00000087636,747005.0000019158,36896.000007207454,75078.00000565824,161475.000003046,6292421.000006324
1991,6714444.000002113,6714444.000004656,285850.00000139157,151700.00000099294,129589.00000943213,4561.00000260275,1372751.000008583,917261.0000074564,301690.0000072842,153800.0000052016,636726.0000065364,205622.0000003862,431104.00000726036,2299703.000009372,790191.0000088791,1398658.0000077286,110854.00000030108,661043.0000035309,327067.0000070508,147520.00000009278,186456.0000014352,235682.0000079726,25682.00000673182,210000.00000264272,1222689.0000038438,105320.00000899415,827048.0000046913,37780.000006082024,77331.00000128333,175210.00000918546,6714444.000002113
1992,7066588.00000452,7066588.000001856,316478.00000627653,151450.00000770067,161022.00000066185,4006.000000622754,1489186.0000032096,1001462.0000073786,326524.00000832573,161200.0000052052,608790.0000027617,220139.0000036124,388651.0000051443,2434709.0000018226,843908.0000023168,1474166.0000044054,116635.00000127558,707646.0000024276,369450.0000087475,164191.0000023325,174005.00000638797,234169.00000587126,26669.00000161641,207500.00000081875,1275610.000002306,107100.00000945227,860462.0000047791,35974.00000856022,78632.00000914423,193442.00000152332,7066588.00000452
1993,7515580.000009206,7515580.000004974,371707.0000071352,153500.00000908002,214028.0000031576,4179.000004384109,1403395.0000089668,883790.0000016949,389605.0000083086,130000.00000588458,642066.0000088208,233137.00000078525,408929.00000017864,2687466.00000952,871830.0000041167,1551736.0000013341,263900.00000173884,835102.000006438,386262.00000911707,228700.00000271323,220140.0000014211,333341.0000079582,27341.000005761234,306000.0000065932,1242503.0000046287,68000.00000972353,918895.0000064604,38926.00000678759,61330.00000794932,155352.00000430003,7515580.000009206
1994,7624234.000004537,7624234.000001403,392198.0000003665,158530.00000787634,229320.00000402523,4348.000008437438,1393568.0000009174,883280.000001563,372188.0000085236,138100.0000049633,663767.0000028001,236642.00000397116,427125.00000954635,2626842.0000010002,899984.0000018266,1406183.0000001888,320675.00000259234,904160.0000011999,403000.0000060012,278000.0000019147,223160.000000844,364354.0000076364,30654.000006235085,333700.0000019278,1279345.0000076648,73100.00000760987,938723.0000061311,41042.00000191838,62362.00000470456,164118.00000572883,7624234.000004537
1995,8146687.000002452,8146687.000004641,386195.00000496994,140850.00000721676,241045.00000572816,4300.000008560675,1477368.0000018037,878458.0000069775,452910.0000000789,146000.00000396493,689569.0000029419,241329.00000871113,448240.000000737,2832750.0000049504,989982.0000035352,1434341.0000050825,408427.0000042274,1006708.0000073904,405500.00000131124,348408.00000870595,252800.0000088304,443498.0000076188,32898.00000931431,410600.0000064297,1310599.0000040035,80300.00000209546,944242.0000084488,42239.00000000007,64655.00000916082,179163.00000530516,8146687.000002452
1996,6831780.000003212,6831780.000003168,171172.00000155866,57265.00000770679,109891.00000271859,4016.0000078360804,1919498.0000052217,1126739.0000035325,371759.0000053246,421000.00000518153,615942.0000081664,255403.0000007272,360539.0000035754,2207583.000009236,800056.0000082793,964488.0000078997,443039.00000750297,853660.0000042813,345349.0000083933,305759.0000035075,202552.00000550013,480073.0000010053,20323.000002404217,459750.0000060565,583852.0000028578,70650.0000043784,279554.0000035047,37131.00000495685,57760.00000151793,138757.0000026238,6831780.000003212
1997,7604454.000001955,7604454.00000938,206142.00000076348,59900.00000976383,142290.0000008682,3952.000005685833,1940906.0000095023,1165597.0000063926,344109.0000091316,431200.0000093884,550900.0000060617,230302.0000002393,320598.0000066667,2903661.000008141,1275954.000002583,1136456.0000034326,491251.0000065516,862532.0000014516,322900.00000151276,321100.0000009744,218532.00000849267,515906.0000098455,20506.00000960016,495400.00000328186,624407.0000014085,109020.00000559504,277286.0000026376,39260.00000548831,58800.00000218568,140041.0000084205,7604454.000001955
1998,8400521.00000274,8400521.000002958,216260.0000062743,61490.00000964759,150355.00000613724,4415.000003927548,2102983.0000080406,1273730.0000096196,378253.00000508537,451000.00000192894,460782.00000240555,155555.00000747718,305227.00000569224,3144008.000008738,1435733.0000085759,1121651.0000017115,586624.0000014512,921034.0000065503,330006.0000038194,355044.0000062769,235984.00000052238,531421.000004411,20873.000000745422,510548.00000913953,1024033.0000040082,102150.00000177436,667198.0000059513,42792.000009530464,61935.000008976465,149958.00000483252,8400521.00000274
1999,8924089.00000816,8924089.000004226,309415.0000011887,66100.00000598935,239175.00000075,4140.000003270751,1972341.0000014955,1157931.0000089614,359410.00000025623,455000.00000803056,445928.0000031005,148493.0000067725,297435.00000583194,3482637.0000095237,1564836.0000020575,1190109.000006606,727692.000007334,1009815.000002946,348366.00000839395,409000.00000100094,252449.00000144023,581356.0000041865,21124.0000061734,560232.0000082437,1122597.0000049428,103900.00000133502,742159.0000055289,46023.00000759163,67611.00000593148,162904.00000277572,8924089.00000816
2000,10333309.000007197,10333309.000001267,344540.0000086127,94450.0000026945,245354.0000018486,4736.000000169742,2234925.000003466,1408151.000007735,376274.00000545505,450500.00000973954,458200.0000047571,156790.00000065935,301410.00000214775,4314419.000000164,1373963.000009649,1757835.000005064,1182621.0000012352,1137071.0000082254,373941.00000393495,477374.00000417186,285756.0000067258,698149.0000046703,21547.00000666942,676602.0000089072,1146005.0000083947,104700.00000940687,751291.0000066934,48290.0000025022,69950.00000318438,171774.00000958043,10333309.000007197
2001,11103372.000003992,11103372.000001425,353687.0000051369,98800.0000069798,250816.00000744272,4071.0000095196965,2320051.0000008154,1419377.0000051714,441174.00000848743,459500.00000423146,436192.0000061815,154402.0000014365,281790.00000756077,4757053.000000106,1347479.0000074361,1848958.00000187,1560616.0000084187,1173967.0000093281,381600.00000656536,502000.00000227883,290367.0000014115,897873.0000086615,31578.000005976428,866295.0000071418,1164549.0000079668,115460.00000030086,753980.0000002924,46455.00000248246,84260.0000049382,164394.0000072568,11103372.000003992
